3342761|COLE|WILLIAM||01-24-1922|761 MAIN ST|EQUALITY|MO|65082|762|9235433|
3342762|COOK|BILLY|J|01-24-1984|762 MAIN ST|SEBASTOPOL|MS|39359|240|0184349|
19800421|FREKER|MARY|B|01-24-1982|421 MAIN ST|PHOENIX|AZ|85016|095|6772867|
19800422|OLDHAM|BRENDA||01-24-1920|422 MAIN ST|BERKELEY|CA|94701|218|6859381|
19800423|MATA|WILLIAM|L|01-24-1919|423 MAIN ST|ETOWAH|TN|37331|304|2590755|
19800424|FOX|JAMIE||01-24-1992|424 MAIN ST|WALLA WALLA|WA|99362|175|0872350|
19800425|ALLGOOD|LINDA||01-24-1966|425 MAIN ST|BERKELEY|CA|94701|988|1285076|
3342763|SIMONSON|ANNAMARIE||01-24-1977|763 MAIN ST|KOUTS|IN|46347|742|9494715|
3342764|DAVIS|CARL||01-24-2000|764 MAIN ST|COLON|NE|68018|349|0555073|
3342765|HARGROVE|GLADYS||01-24-1938|765 MAIN ST|BERKELEY|CA|94701|523|7820922|
3342760|ADAMS|TROY||01-24-1987|760 MAIN ST|SHELBY TOWNSHIP|MI|48315|810|7012965|
19800426|KERR|BRIAN||01-24-1940|426 MAIN ST|NEDERLAND|TX|77627|895|6152655|
3342760|ADAMS|TROY||01-24-1987|760 MAIN ST|SHELBY TOWNSHIP|MI|48315|810|7012965|
3342766|DALY|MATHEW|C|01-24-1992|766 MAIN ST|KOUTS|IN|46347|360|5053267|
19800427|REYNA|DEXTER||01-24-2010|427 MAIN ST|BIRMINGHAM|AL|35202|430|6244817|
19800428|WILSON|ROSCOE||01-24-2007|428 MAIN ST|BERKELEY|CA|94701|||
19800429|HOLMES|MARIA||01-24-2002|429 MAIN ST|CUBA CITY|WI|53807|001|3711052|
19800430|ANDERSON|BARBARA||01-24-1977|430 MAIN ST|SPARTA|VA|22552|118|6586347|
3342767|ROBERTSON|BILLIE|M|01-24-1996|767 MAIN ST|HOUGHS NECK|MA|02169|238|5019466|
19800431|CHAMBERS|JERRY||01-24-1936|431 MAIN ST|GOLF|IL|60029|978|7539284|
3342768|ELLIOTT|LEE||01-24-1955|768 MAIN ST|GLASTONBURY|CT|06033|591|0258227|
19800432|JORDAN|BLAINE||01-24-2014|432 MAIN ST|YULEE|FL|32041|638|8344380|
19800433|WILLIAMS|LUELLA||01-24-1931|433 MAIN ST|ETOWAH|TN|37331|406|9548350|
19800434|TABOR|SHAWN||01-24-1974|434 MAIN ST|NEDERLAND|TX|77627|237|8866923|
19800435|MARTIN|DONNA||01-24-1994|435 MAIN ST|HAILEY|ID|83348|919|3833858|
19800436|GARCIA|ESTHER||01-24-1919|436 MAIN ST|BERKELEY|CA|94701|461|0907259|
3342760|ADAMS|TROY||01-24-1987|760 MAIN ST|SHELBY TOWNSHIP|MI|48315|810|7012965|
21668001|CRUM|WALTER||01-24-1950|1 MAIN ST|MOON TOWNSHIP|PA|15108|403|3464845|
21668002|MORRIS|ELAINE||01-24-1997|2 MAIN ST|EXPERIMENT|GA|30212|854|4505965|
21668003|BHASKAR|GERALD||01-24-1920|3 MAIN ST|NEDERLAND|TX|77627|454|8097752|
21668004|TARVER|CATHY||01-24-1990|4 MAIN ST|NEDERLAND|TX|77627|577|7793676|
21668005|TEEL|RON||01-24-2008|5 MAIN ST|AIEA|HI|96701|||
21668006|MAHER|BETSY||01-24-1967|6 MAIN ST|IOWA|LA|70647|361|2898185|
21668007|LAWSON|CHARLOTTE||01-24-1979|7 MAIN ST|BERKELEY|CA|94701|811|6116094|
21668019|TAYLOR|JEWEL||01-24-2004|19 MAIN ST|SABILLASVILLE|MD|21780|228|3212325|
21668008|CURRIE|LORI||01-24-1943|8 MAIN ST|NEGLEY|OH|44441|761|7978567|
21668009|RUNYAN|ANDREA||01-24-1924|9 MAIN ST|MOON TOWNSHIP|PA|15108|590|2879150|
21668010|JOHNSON|GERALD||01-24-1918|10 MAIN ST|CO SPGS|CO|80912|||
21668011|SMITH|PERCY||01-24-1968|11 MAIN ST|BERKELEY|CA|94701|970|9563392|
21668012|WOODARD|MARIA||01-24-1984|12 MAIN ST|YULEE|FL|32041|021|3153294|
21668013|SHAMBAUGH|DAVID||01-24-1966|13 MAIN ST|MAYO|SC|29368|181|7769864|
21668014|HENRIGUEZ|MICHAEL||01-24-1962|14 MAIN ST|MAHWAH|NJ|07430|175|5928859|
21668020|TANG|WILLIAM||01-24-1952|20 MAIN ST|NORWOOD YOUNG AMERICA|MN|55562|||
21668014|HENRIGUEZ|MICHAEL||01-24-1962|14 MAIN ST|MAHWAH|NJ|07430|175|5928859|
21668015|OLSON|EDWARD||01-24-2009|15 MAIN ST|LEFT HAND|WV|25251|660|6419029|
21668016|JAMES|DAVID||01-24-2006|16 MAIN ST|GLASTONBURY|CT|06033|386|2566203|
21668021|MALSOM|VICTOR|A|01-24-1987|21 MAIN ST|GOLF|IL|60029|010|5602213|
21668017|COGSWELL|JULIE||01-24-1956|17 MAIN ST|SHELBY TOWNSHIP|MI|48315|585|9332845|
21668018|HOOD|JOY||01-24-1920|18 MAIN ST|WALLA WALLA|WA|99362|255|4494636|
19800444|BONANNO|CORENE||01-24-1950|444 MAIN ST|YULEE|FL|32041|058|7866753|
21668022|JAIME|CARL|R|01-24-1973|22 MAIN ST|SHELBY TOWNSHIP|MI|48315|312|0262111|
21668023|CRAWFORD|CLAUDE||01-24-1949|23 MAIN ST|OURAY|UT|84026|416|1090678|
21668035|SPECCHIO|SCOTT||01-24-1976|35 MAIN ST|GOLF|IL|60029|||
21668024|DAWSON|MICHAEL||01-24-1990|24 MAIN ST|BERKELEY|CA|94701|894|0492247|
21668025|ROOS|DAVID||01-24-1975|25 MAIN ST|FRANKFORT|NY|13340|||
21668026|FERNOW|GAIL|C|01-24-1972|26 MAIN ST|LEFT HAND|WV|25251|660|7385676|
21668027|HURT|JOHN||01-24-1940|27 MAIN ST|KOUTS|IN|46347|729|9473092|
21668028|WALKER|MYRTLE||01-24-1926|28 MAIN ST|SHELBY TOWNSHIP|MI|48315|614|0490838|
21668029|WHITE|ANGELA||01-24-1948|29 MAIN ST|YULEE|FL|32041|183|8207002|
21668030|AHAL|DENISE||01-24-1925|30 MAIN ST|BERKELEY|CA|94701|334|4804912|
21668031|BOLANDER|GEORGE||01-24-1968|31 MAIN ST|KOUTS|IN|46347|778|0777273|
19800437|CANADY|ROSE||01-24-1945|437 MAIN ST|MAHWAH|NJ|07430|513|4516263|
19800438|GORE|CHRISTOPHER||01-24-1918|438 MAIN ST|NORWOOD YOUNG AMERICA|MN|55562|398|8583843|
7255780|SANTORY|HARRY||02-03-1939|183 MAIN ST|STAR|NC|27356|598|7626602|
19800439|BELL|LORNA||01-24-1948|439 MAIN ST|BERKELEY|CA|94701|636|7124280|
